SapaLogicColor,TechDesignColor,SurfaceTreatmentGroup,OutputText,RGB,DescriptionSE,DescriptionNO,DescriptionDK,DescriptionFI,DescriptionEN,DescriptionPL
1050Y30R - GL30,N1050.340L,NC_1,1050Y30R_GL30,N|242|178|84,NCS S 1050-Y30R Glans 30,NCS S 1050-Y30R Glans 30,NCS S 1050-Y30R Glans 30,NCS S 1050-Y30R Kiiltoaste 30,NCS S 1050-Y30R Gloss 30,NCS S 1050-Y30R Polysk 30
1050Y10R - GL30,N1050.340P,NC_1,1050Y10R_GL30,N|242|206|89,NCS S 1050-Y10R Glans 30,NCS S 1050-Y10R Glans 30,NCS S 1050-Y10R Glans 30,NCS S 1050-Y10R Kiiltoaste 30,NCS S 1050-Y10R Gloss 30,NCS S 1050-Y10R Polysk 30
1050R - GL30,N1050.340R,NC_1,1050R_GL30,N|242|63|75,NCS S 1050-R Glans 30,NCS S 1050-R Glans 30,NCS S 1050-R Glans 30,NCS S 1050-R Kiiltoaste 30,NCS S 1050-R Gloss 30,NCS S 1050-R Polysk 30
1050B90G - GL30,N1050.340S,NC_1,1050B90G_GL30,N|82|242|170,NCS S 1050-B90G Glans 30,NCS S 1050-B90G Glans 30,NCS S 1050-B90G Glans 30,NCS S 1050-B90G Kiiltoaste 30,NCS S 1050-B90G Gloss 30,NCS S 1050-B90G Polysk 30
1050Y30R - GL80,N1050.840L,NC_1,1050Y30R_GL80,N|242|178|84,NCS S 1050-Y30R Glans 80,NCS S 1050-Y30R Glans 80,NCS S 1050-Y30R Glans 80,NCS S 1050-Y30R Kiiltoaste 80,NCS S 1050-Y30R Gloss 80,NCS S 1050-Y30R Polysk 80
1050R - GL80,N1050.840R,NC_1,1050R_GL80,N|242|63|75,NCS S 1050-R Glans 80,NCS S 1050-R Glans 80,NCS S 1050-R Glans 80,NCS S 1050-R Kiiltoaste 80,NCS S 1050-R Gloss 80,NCS S 1050-R Polysk 80
1060G40Y - GL30,N1060.3404,NC_1,1060G40Y_GL30,N|183|242|66,NCS S 1060-G40Y Glans 30,NCS S 1060-G40Y Glans 30,NCS S 1060-G40Y Glans 30,NCS S 1060-G40Y Kiiltoaste 30,NCS S 1060-G40Y Gloss 30,NCS S 1060-G40Y Polysk 30
1060Y90R - GL30,N1060.340F,NC_1,1060Y90R_GL30,N|242|65|53,NCS S 1060-Y90R Glans 30,NCS S 1060-Y90R Glans 30,NCS S 1060-Y90R Glans 30,NCS S 1060-Y90R Kiiltoaste 30,NCS S 1060-Y90R Gloss 30,NCS S 1060-Y90R Polysk 30
1060Y - GL30,N1060.340Y,NC_1,1060Y_GL30,N|242|216|70,NCS S 1060-Y Glans 30,NCS S 1060-Y Glans 30,NCS S 1060-Y Glans 30,NCS S 1060-Y Kiiltoaste 30,NCS S 1060-Y Gloss 30,NCS S 1060-Y Polysk 30
1060G40Y - GL80,N1060.8404,NC_1,1060G40Y_GL80,N|183|242|66,NCS S 1060-G40Y Glans 80,NCS S 1060-G40Y Glans 80,NCS S 1060-G40Y Glans 80,NCS S 1060-G40Y Kiiltoaste 80,NCS S 1060-G40Y Gloss 80,NCS S 1060-G40Y Polysk 80
1060B - GL80,N1060.840B,NC_1,1060B_GL80,N|64|175|242,NCS S 1060-B Glans 80,NCS S 1060-B Glans 80,NCS S 1060-B Glans 80,NCS S 1060-B Kiiltoaste 80,NCS S 1060-B Gloss 80,NCS S 1060-B Polysk 80
1060Y90R - GL80,N1060.840F,NC_1,1060Y90R_GL80,N|242|65|53,NCS S 1060-Y90R Glans 80,NCS S 1060-Y90R Glans 80,NCS S 1060-Y90R Glans 80,NCS S 1060-Y90R Kiiltoaste 80,NCS S 1060-Y90R Gloss 80,NCS S 1060-Y90R Polysk 80
1060G60Y - GL80,N1060.840I,NC_1,1060G60Y_GL80,N|189|204|69,NCS S 1060-G60Y Glans 80,NCS S 1060-G60Y Glans 80,NCS S 1060-G60Y Glans 80,NCS S 1060-G60Y Kiiltoaste 80,NCS S 1060-G60Y Gloss 80,NCS S 1060-G60Y Polysk 80
1060Y30R - GL80,N1060.840L,NC_1,1060Y30R_GL80,N|242|169|63,NCS S 1060-Y30R Glans 80,NCS S 1060-Y30R Glans 80,NCS S 1060-Y30R Glans 80,NCS S 1060-Y30R Kiiltoaste 80,NCS S 1060-Y30R Gloss 80,NCS S 1060-Y30R Polysk 80
1060Y10R - GL80,N1060.840P,NC_1,1060Y10R_GL80,N|242|201|68,NCS S 1060-Y10R Glans 80,NCS S 1060-Y10R Glans 80,NCS S 1060-Y10R Glans 80,NCS S 1060-Y10R Kiiltoaste 80,NCS S 1060-Y10R Gloss 80,NCS S 1060-Y10R Polysk 80
