SapaLogicColor,TechDesignColor,SurfaceTreatmentGroup,OutputText,RGB,DescriptionSE,DescriptionNO,DescriptionDK,DescriptionFI,DescriptionEN,DescriptionPL
4550B90G - GL80,N4550.840S,NC_1,4550B90G_GL80,N|50|148|104,NCS S 4550-B90G Glans 80,NCS S 4550-B90G Glans 80,NCS S 4550-B90G Glans 80,NCS S 4550-B90G Kiiltoaste 80,NCS S 4550-B90G Gloss 80,NCS S 4550-B90G Polysk 80
4550G20Y - GL80,N4550.840T,NC_1,4550G20Y_GL80,N|90|148|66,NCS S 4550-G20Y Glans 80,NCS S 4550-G20Y Glans 80,NCS S 4550-G20Y Glans 80,NCS S 4550-G20Y Kiiltoaste 80,NCS S 4550-G20Y Gloss 80,NCS S 4550-G20Y Polysk 80
4550Y60R - GL80,N4550.840W,NC_1,4550Y60R_GL80,N|148|80|46,NCS S 4550-Y60R Glans 80,NCS S 4550-Y60R Glans 80,NCS S 4550-Y60R Glans 80,NCS S 4550-Y60R Kiiltoaste 80,NCS S 4550-Y60R Gloss 80,NCS S 4550-Y60R Polysk 80
5000N - GL30,N5000.340N,NC_1,5000N_GL30,N|128|128|128,NCS S 5000-N Glans 30,NCS S 5000-N Glans 30,NCS S 5000-N Glans 30,NCS S 5000-N Kiiltoaste 30,NCS S 5000-N Gloss 30,NCS S 5000-N Polysk 30
5000N - GL80,N5000.840N,NC_1,5000N_GL80,N|128|128|128,NCS S 5000-N Glans 80,NCS S 5000-N Glans 80,NCS S 5000-N Glans 80,NCS S 5000-N Kiiltoaste 80,NCS S 5000-N Gloss 80,NCS S 5000-N Polysk 80
5005B80G - GL30,N5005.3406,NC_1,5005B80G_GL30,N|124|135|132,NCS S 5005-B80G Glans 30,NCS S 5005-B80G Glans 30,NCS S 5005-B80G Glans 30,NCS S 5005-B80G Kiiltoaste 30,NCS S 5005-B80G Gloss 30,NCS S 5005-B80G Polysk 30
5005R50B - GL30,N5005.3409,NC_1,5005R50B_GL30,N|135|124|132,NCS S 5005-R50B Glans 30,NCS S 5005-R50B Glans 30,NCS S 5005-R50B Glans 30,NCS S 5005-R50B Kiiltoaste 30,NCS S 5005-R50B Gloss 30,NCS S 5005-R50B Polysk 30
5005Y20R - GL30,N5005.340A,NC_1,5005Y20R_GL30,N|135|131|123,NCS S 5005-Y20R Glans 30,NCS S 5005-Y20R Glans 30,NCS S 5005-Y20R Glans 30,NCS S 5005-Y20R Kiiltoaste 30,NCS S 5005-Y20R Gloss 30,NCS S 5005-Y20R Polysk 30
5005Y50R - GL30,N5005.340D,NC_1,5005Y50R_GL30,N|135|127|121,NCS S 5005-Y50R Glans 30,NCS S 5005-Y50R Glans 30,NCS S 5005-Y50R Glans 30,NCS S 5005-Y50R Kiiltoaste 30,NCS S 5005-Y50R Gloss 30,NCS S 5005-Y50R Polysk 30
5005G20Y - GL30,N5005.340T,NC_1,5005G20Y_GL30,N|127|135|124,NCS S 5005-G20Y Gloss 30,NCS S 5005-G20Y Gloss 30,NCS S 5005-G20Y Gloss 30,NCS S 5005-G20Y Gloss 30,NCS S 5005-G20Y Gloss 30,NCS S 5005-G20Y Gloss 30
5005G50Y - GL30,N5005.340U,NC_1,5005G50Y_GL30,N|132|135|123,NCS S 5005-G50Y Glans 30,NCS S 5005-G50Y Glans 30,NCS S 5005-G50Y Glans 30,NCS S 5005-G50Y Kiiltoaste 30,NCS S 5005-G50Y Gloss 30,NCS S 5005-G50Y Polysk 30
5005G80Y - GL30,N5005.340V,NC_1,5005G80Y_GL30,N|135|134|125,NCS S 5005-G80Y Glans 30,NCS S 5005-G80Y Glans 30,NCS S 5005-G80Y Glans 30,NCS S 5005-G80Y Kiiltoaste 30,NCS S 5005-G80Y Gloss 30,NCS S 5005-G80Y Polysk 30
Doesn't exist,N5005.840>,NC_1,5005R80B_GL80,N|122|126|133,NCS S 5005-R80B Glans 80NCS S 5005-R80B Gloss 80,NCS S 5005-R80B Glans 80,NCS S 5005-R80B Glans 80,NCS S 5005-R80B Kiiltoaste 80,NCS S 5005-R80B Gloss 80,NCS S 5005-R80B Polysk 80
5005B20G - GL80,N5005.8401,NC_1,5005B20G_GL80,N|124|133|135,NCS S 5005-B20G Glans 80,NCS S 5005-B20G Glans 80,NCS S 5005-B20G Glans 80,NCS S 5005-B20G Kiiltoaste 80,NCS S 5005-B20G Gloss 80,NCS S 5005-B20G Polysk 80
5005B80G - GL80,N5005.8406,NC_1,5005B80G_GL80,N|124|135|132,NCS S 5005-B80G Glans 80,NCS S 5005-B80G Glans 80,NCS S 5005-B80G Glans 80,NCS S 5005-B80G Kiiltoaste 80,NCS S 5005-B80G Gloss 80,NCS S 5005-B80G Polysk 80
5005Y20R - GL80,N5005.840A,NC_1,5005Y20R_GL80,N|135|131|123,NCS S 5005-Y20R Glans 80,NCS S 5005-Y20R Glans 80,NCS S 5005-Y20R Glans 80,NCS S 5005-Y20R Kiiltoaste 80,NCS S 5005-Y20R Gloss 80,NCS S 5005-Y20R Polysk 80
5005Y80R - GL80,N5005.840C,NC_1,5005Y80R_GL80,N|135|121|119,NCS S 5005-Y80R Glans 80,NCS S 5005-Y80R Glans 80,NCS S 5005-Y80R Glans 80,NCS S 5005-Y80R Kiiltoaste 80,NCS S 5005-Y80R Gloss 80,NCS S 5005-Y80R Polysk 80
5005Y50R - GL80,N5005.840D,NC_1,5005Y50R_GL80,N|135|127|121,NCS S 5005-Y50R Glans 80,NCS S 5005-Y50R Glans 80,NCS S 5005-Y50R Glans 80,NCS S 5005-Y50R Kiiltoaste 80,NCS S 5005-Y50R Gloss 80,NCS S 5005-Y50R Polysk 80
5005G20Y - GL80,N5005.840T,NC_1,5005G20Y_GL80,N|127|135|124,NCS S 5005-G20Y Glans 80,NCS S 5005-G20Y Glans 80,NCS S 5005-G20Y Glans 80,NCS S 5005-G20Y Kiiltoaste 80,NCS S 5005-G20Y Gloss 80,NCS S 5005-G20Y Polysk 80
5005G50Y - GL80,N5005.840U,NC_1,5005G50Y_GL80,N|132|135|123,NCS S 5005-G50Y Glans 80,NCS S 5005-G50Y Glans 80,NCS S 5005-G50Y Glans 80,NCS S 5005-G50Y Kiiltoaste 80,NCS S 5005-G50Y Gloss 80,NCS S 5005-G50Y Polysk 80
5005G80Y - GL80,N5005.840V,NC_1,5005G80Y_GL80,N|135|134|125,NCS S 5005-G80Y Glans 80,NCS S 5005-G80Y Glans 80,NCS S 5005-G80Y Glans 80,NCS S 5005-G80Y Kiiltoaste 80,NCS S 5005-G80Y Gloss 80,NCS S 5005-G80Y Polysk 80
5010B10Y - GL30,N5010.340£,NC_1,5010B10Y_GL30,N|113|129|135,NCS S 5010-B10Y Glans 30,NCS S 5010-B10Y Glans 30,NCS S 5010-B10Y Glans 30,NCS S 5010-B10Y Kiiltoaste 30,NCS S 5010-B10Y Gloss 30,NCS S 5010-B10Y Polysk 30
5010B30G - GL30,N5010.3400,NC_1,5010B30G_GL30,N|114|133|135,NCS S 5010-B30G Glans 30,NCS S 5010-B30G Glans 30,NCS S 5010-B30G Glans 30,NCS S 5010-B30G Kiiltoaste 30,NCS S 5010-B30G Gloss 30,NCS S 5010-B30G Polysk 30
5010B50G - GL30,N5010.3407,NC_1,5010B50G_GL30,N|115|135|134,NCS S 5010-B50G Glans 30,NCS S 5010-B50G Glans 30,NCS S 5010-B50G Glans 30,NCS S 5010-B50G Kiiltoaste 30,NCS S 5010-B50G Gloss 30,NCS S 5010-B50G Polysk 30
5010Y50R - GL30,N5010.340D,NC_1,5010Y50R_GL30,N|135|120|109,NCS S 5010-Y50R Glans 30,NCS S 5010-Y50R Glans 30,NCS S 5010-Y50R Glans 30,NCS S 5010-Y50R Kiiltoaste 30,NCS S 5010-Y50R Gloss 30,NCS S 5010-Y50R Polysk 30
5010Y70R - GL30,N5010.340E,NC_1,5010Y70R_GL30,N|135|114|106,NCS S 5010-Y70R Glans 30,NCS S 5010-Y70R Glans 30,NCS S 5010-Y70R Glans 30,NCS S 5010-Y70R Kiiltoaste 30,NCS S 5010-Y70R Gloss 30,NCS S 5010-Y70R Polysk 30
5010G30Y - GL30,N5010.340H,NC_1,5010G30Y_GL30,N|124|135|113,NCS S 5010-G30Y Glans 30,NCS S 5010-G30Y Glans 30,NCS S 5010-G30Y Glans 30,NCS S 5010-G30Y Kiiltoaste 30,NCS S 5010-G30Y Gloss 30,NCS S 5010-G30Y Polysk 30
5010G70Y - GL30,N5010.340K,NC_1,5010G70Y_GL30,N|134|135|115,NCS S 5010-G70Y Glans 30,NCS S 5010-G70Y Glans 30,NCS S 5010-G70Y Glans 30,NCS S 5010-G70Y Kiiltoaste 30,NCS S 5010-G70Y Gloss 30,NCS S 5010-G70Y Polysk 30
5010Y30R - GL30,N5010.340L,NC_1,5010Y30R_GL30,N|135|125|111,NCS S 5010-Y30R Glans 30,NCS S 5010-Y30R Glans 30,NCS S 5010-Y30R Glans 30,NCS S 5010-Y30R Kiiltoaste 30,NCS S 5010-Y30R Gloss 30,NCS S 5010-Y30R Polysk 30
5010R90B - GL30,N5010.340M,NC_1,5010R90B_GL30,N|108|116|135,NCS S 5010-R90B Glans 30,NCS S 5010-R90B Glans 30,NCS S 5010-R90B Glans 30,NCS S 5010-R90B Kiiltoaste 30,NCS S 5010-R90B Gloss 30,NCS S 5010-R90B Polysk 30
5010B10G - GL30,N5010.340O,NC_1,5010B10G_GL30,N|113|129|135,NCS S 5010-B10G Glans 30,NCS S 5010-B10G Glans 30,NCS S 5010-B10G Glans 30,NCS S 5010-B10G Kiiltoaste 30,NCS S 5010-B10G Gloss 30,NCS S 5010-B10G Polysk 30
5010Y10R - GL30,N5010.340P,NC_1,5010Y10R_GL30,N|135|129|113,NCS S 5010-Y10R Glans 30,NCS S 5010-Y10R Glans 30,NCS S 5010-Y10R Glans 30,NCS S 5010-Y10R Kiiltoaste 30,NCS S 5010-Y10R Gloss 30,NCS S 5010-Y10R Polysk 30
5010G10Y - GL30,N5010.340Q,NC_1,5010G10Y_GL30,N|116|135|116,NCS S 5010-G10Y Glans 30,NCS S 5010-G10Y Glans 30,NCS S 5010-G10Y Glans 30,NCS S 5010-G10Y Kiiltoaste 30,NCS S 5010-G10Y Gloss 30,NCS S 5010-G10Y Polysk 30
5010B90G - GL30,N5010.340S,NC_1,5010B90G_GL30,N|111|135|124,NCS S 5010-B90G Glans 30,NCS S 5010-B90G Glans 30,NCS S 5010-B90G Glans 30,NCS S 5010-B90G Kiiltoaste 30,NCS S 5010-B90G Gloss 30,NCS S 5010-B90G Polysk 30
5010G50Y - GL30,N5010.340U,NC_1,5010G50Y_GL30,N|130|135|113,NCS S 5010-G50Y Glans 30,NCS S 5010-G50Y Glans 30,NCS S 5010-G50Y Glans 30,NCS S 5010-G50Y Kiiltoaste 30,NCS S 5010-G50Y Gloss 30,NCS S 5010-G50Y Polysk 30
5010B70G - GL30,N5010.340X,NC_1,5010B70G_GL30,N|114|135|131,NCS S 5010-B70G Glans 30,NCS S 5010-B70G Glans 30,NCS S 5010-B70G Glans 30,NCS S 5010-B70G Kiiltoaste 30,NCS S 5010-B70G Gloss 30,NCS S 5010-B70G Polysk 30
5010B10Y - GL80,N5010.840£,NC_1,5010B10Y_GL80,N|113|129|135,NCS S 5010-B10Y Glans 80,NCS S 5010-B10Y Glans 80,NCS S 5010-B10Y Glans 80,NCS S 5010-B10Y Kiiltoaste 80,NCS S 5010-B10Y Gloss 80,NCS S 5010-B10Y Polysk 80
5010B30G - GL80,N5010.8400,NC_1,5010B30G_GL80,N|114|133|135,NCS S 5010-B30G Glans 80,NCS S 5010-B30G Glans 80,NCS S 5010-B30G Glans 80,NCS S 5010-B30G Kiiltoaste 80,NCS S 5010-B30G Gloss 80,NCS S 5010-B30G Polysk 80
5010B50G - GL80,N5010.8407,NC_1,5010B50G_GL80,N|115|135|134,NCS S 5010-B50G Glans 80,NCS S 5010-B50G Glans 80,NCS S 5010-B50G Glans 80,NCS S 5010-B50G Kiiltoaste 80,NCS S 5010-B50G Gloss 80,NCS S 5010-B50G Polysk 80
5010Y50R - GL80,N5010.840D,NC_1,5010Y50R_GL80,N|135|120|109,NCS S 5010-Y50R Glans 80,NCS S 5010-Y50R Glans 80,NCS S 5010-Y50R Glans 80,NCS S 5010-Y50R Kiiltoaste 80,NCS S 5010-Y50R Gloss 80,NCS S 5010-Y50R Polysk 80
5010Y70R - GL80,N5010.840E,NC_1,5010Y70R_GL80,N|135|114|106,NCS S 5010-Y70R Glans 80,NCS S 5010-Y70R Glans 80,NCS S 5010-Y70R Glans 80,NCS S 5010-Y70R Kiiltoaste 80,NCS S 5010-Y70R Gloss 80,NCS S 5010-Y70R Polysk 80
5010G30Y - GL80,N5010.840H,NC_1,5010G30Y_GL80,N|124|135|113,NCS S 5010-G30Y Glans 80,NCS S 5010-G30Y Glans 80,NCS S 5010-G30Y Glans 80,NCS S 5010-G30Y Kiiltoaste 80,NCS S 5010-G30Y Gloss 80,NCS S 5010-G30Y Polysk 80
5010G70Y - GL80,N5010.840K,NC_1,5010G70Y_GL80,N|134|135|115,NCS S 5010-G70Y Glans 80,NCS S 5010-G70Y Glans 80,NCS S 5010-G70Y Glans 80,NCS S 5010-G70Y Kiiltoaste 80,NCS S 5010-G70Y Gloss 80,NCS S 5010-G70Y Polysk 80
5010R90B - GL80,N5010.840M,NC_1,5010R90B_GL80,N|108|116|135,NCS S 5010-R90B Glans 80,NCS S 5010-R90B Glans 80,NCS S 5010-R90B Glans 80,NCS S 5010-R90B Kiiltoaste 80,NCS S 5010-R90B Gloss 80,NCS S 5010-R90B Polysk 80
5010B10G - GL80,N5010.840O,NC_1,5010B10G_GL80,N|113|129|135,NCS S 5010-B10G Glans 80,NCS S 5010-B10G Glans 80,NCS S 5010-B10G Glans 80,NCS S 5010-B10G Kiiltoaste 80,NCS S 5010-B10G Gloss 80,NCS S 5010-B10G Polysk 80
5010Y10R - GL80,N5010.840P,NC_1,5010Y10R_GL80,N|135|129|113,NCS S 5010-Y10R Glans 80,NCS S 5010-Y10R Glans 80,NCS S 5010-Y10R Glans 80,NCS S 5010-Y10R Kiiltoaste 80,NCS S 5010-Y10R Gloss 80,NCS S 5010-Y10R Polysk 80
5010G10Y - GL80,N5010.840Q,NC_1,5010G10Y_GL80,N|116|135|116,NCS S 5010-G10Y Glans 80,NCS S 5010-G10Y Glans 80,NCS S 5010-G10Y Glans 80,NCS S 5010-G10Y Kiiltoaste 80,NCS S 5010-G10Y Gloss 80,NCS S 5010-G10Y Polysk 80
5010B90G - GL80,N5010.840S,NC_1,5010B90G_GL80,N|111|135|124,NCS S 5010-B90G Glans 80,NCS S 5010-B90G Glans 80,NCS S 5010-B90G Glans 80,NCS S 5010-B90G Kiiltoaste 80,NCS S 5010-B90G Gloss 80,NCS S 5010-B90G Polysk 80
5010B70G - GL80,N5010.840X,NC_1,5010B70G_GL80,N|114|135|131,NCS S 5010-B70G Glans 80,NCS S 5010-B70G Glans 80,NCS S 5010-B70G Glans 80,NCS S 5010-B70G Kiiltoaste 80,NCS S 5010-B70G Gloss 80,NCS S 5010-B70G Polysk 80
5020B30G - GL30,N5020.3400,NC_1,5020B30G_GL30,N|97|131|135,NCS S 5020-B30G Glans 30,NCS S 5020-B30G Glans 30,NCS S 5020-B30G Glans 30,NCS S 5020-B30G Kiiltoaste 30,NCS S 5020-B30G Gloss 30,NCS S 5020-B30G Polysk 30
5020B50G - GL30,N5020.3407,NC_1,5020B50G_GL30,N|97|135|133,NCS S 5020-B50G Glans 30,NCS S 5020-B50G Glans 30,NCS S 5020-B50G Glans 30,NCS S 5020-B50G Kiiltoaste 30,NCS S 5020-B50G Gloss 30,NCS S 5020-B50G Polysk 30
5020R20B - GL30,N5020.3408,NC_1,5020R20B_GL30,N|135|83|93,NCS S 5020-R20B Glans 30,NCS S 5020-R20B Glans 30,NCS S 5020-R20B Glans 30,NCS S 5020-R20B Kiiltoaste 30,NCS S 5020-R20B Gloss 30,NCS S 5020-R20B Polysk 30
5020B - GL30,N5020.340B,NC_1,5020B_GL30,N|77|118|124,NCS S 5020-B Glans 30,NCS S 5020-B Glans 30,NCS S 5020-B Glans 30,NCS S 5020-B Kiiltoaste 30,NCS S 5020-B Gloss 30,NCS S 5020-B Polysk 30
5020Y50R - GL30,N5020.340D,NC_1,5020Y50R_GL30,N|135|108|88,NCS S 5020-Y50R Glans 30,NCS S 5020-Y50R Glans 30,NCS S 5020-Y50R Glans 30,NCS S 5020-Y50R Kiiltoaste 30,NCS S 5020-Y50R Gloss 30,NCS S 5020-Y50R Polysk 30
5020G30Y - GL30,N5020.340H,NC_1,5020G30Y_GL30,N|115|135|95,NCS S 5020-G30Y Glans 30,NCS S 5020-G30Y Glans 30,NCS S 5020-G30Y Glans 30,NCS S 5020-G30Y Kiiltoaste 30,NCS S 5020-G30Y Gloss 30,NCS S 5020-G30Y Polysk 30
5020G70Y - GL30,N5020.340K,NC_1,5020G70Y_GL30,N|133|135|97,NCS S 5020-G70Y Glans 30,NCS S 5020-G70Y Glans 30,NCS S 5020-G70Y Glans 30,NCS S 5020-G70Y Kiiltoaste 30,NCS S 5020-G70Y Gloss 30,NCS S 5020-G70Y Polysk 30
5020R90B - GL30,N5020.340M,NC_1,5020R90B_GL30,N|86|102|135,NCS S 5020-R90B Glans 30,NCS S 5020-R90B Glans 30,NCS S 5020-R90B Glans 30,NCS S 5020-R90B Kiiltoaste 30,NCS S 5020-R90B Gloss 30,NCS S 5020-R90B Polysk 30
5020B10G - GL30,N5020.340O,NC_1,5020B10G_GL30,N|94|124|135,NCS S 5020-B10G Glans 30,NCS S 5020-B10G Glans 30,NCS S 5020-B10G Glans 30,NCS S 5020-B10G Kiiltoaste 30,NCS S 5020-B10G Gloss 30,NCS S 5020-B10G Polysk 30
5020G10Y - GL30,N5020.340Q,NC_1,5020G10Y_GL30,N|100|135|101,NCS S 5020-G10Y Glans 30,NCS S 5020-G10Y Glans 30,NCS S 5020-G10Y Glans 30,NCS S 5020-G10Y Kiiltoaste 30,NCS S 5020-G10Y Gloss 30,NCS S 5020-G10Y Polysk 30
5020B90G - GL30,N5020.340S,NC_1,5020B90G_GL30,N|91|135|115,NCS S 5020-B90G Glans 30,NCS S 5020-B90G Glans 30,NCS S 5020-B90G Glans 30,NCS S 5020-B90G Kiiltoaste 30,NCS S 5020-B90G Gloss 30,NCS S 5020-B90G Polysk 30
5020G20Y - GL30,N5020.340T,NC_1,5020G20Y_GL30,N|108|135|98,NCS S 5020-G20Y Glans 30,NCS S 5020-G20Y Glans 30,NCS S 5020-G20Y Glans 30,NCS S 5020-G20Y Kiiltoaste 30,NCS S 5020-G20Y Gloss 30,NCS S 5020-G20Y Polysk 30
5020G50Y - GL30,N5020.340U,NC_1,5020G50Y_GL30,N|125|135|94,NCS S 5020-G50Y Glans 30,NCS S 5020-G50Y Glans 30,NCS S 5020-G50Y Glans 30,NCS S 5020-G50Y Kiiltoaste 30,NCS S 5020-G50Y Gloss 30,NCS S 5020-G50Y Polysk 30
5020Y60R - GL30,N5020.340W,NC_1,5020Y60R_GL30,N|135|103|86,NCS S 5020-Y60R Glans 30,NCS S 5020-Y60R Glans 30,NCS S 5020-Y60R Glans 30,NCS S 5020-Y60R Kiiltoaste 30,NCS S 5020-Y60R Gloss 30,NCS S 5020-Y60R Polysk 30
5020B70G - GL30,N5020.340X,NC_1,5020B70G_GL30,N|75|120|115,NCS S 5020-B70G Glans 30,NCS S 5020-B70G Glans 30,NCS S 5020-B70G Glans 30,NCS S 5020-B70G Kiiltoaste 30,NCS S 5020-B70G Gloss 30,NCS S 5020-B70G Polysk 30
5020B - GL80,N5020.840B,NC_1,5020B_GL80,N|92|119|135,NCS S 5020-B Glans 80,NCS S 5020-B Glans 80,NCS S 5020-B Glans 80,NCS S 5020-B Kiiltoaste 80,NCS S 5020-B Gloss 80,NCS S 5020-B Polysk 80
5020Y50R - GL80,N5020.840D,NC_1,5020Y50R_GL80,N|135|108|88,NCS S 5020-Y50R Glans 80,NCS S 5020-Y50R Glans 80,NCS S 5020-Y50R Glans 80,NCS S 5020-Y50R Kiiltoaste 80,NCS S 5020-Y50R Gloss 80,NCS S 5020-Y50R Polysk 80
5020Y70R - GL80,N5020.840E,NC_1,5020Y70R_GL80,N|135|97|84,NCS S 5020-Y70R Glans 80,NCS S 5020-Y70R Glans 80,NCS S 5020-Y70R Glans 80,NCS S 5020-Y70R Kiiltoaste 80,NCS S 5020-Y70R Gloss 80,NCS S 5020-Y70R Polysk 80
5020G30Y - GL80,N5020.840H,NC_1,5020G30Y_GL80,N|115|135|95,NCS S 5020-G30Y Glans 80,NCS S 5020-G30Y Glans 80,NCS S 5020-G30Y Glans 80,NCS S 5020-G30Y Kiiltoaste 80,NCS S 5020-G30Y Gloss 80,NCS S 5020-G30Y Polysk 80
5020R80B - GL80,N5020.840I,NC_1,5020R80B_GL80,N|82|92|135,NCS S 5020-R80B Glans 80,NCS S 5020-R80B Glans 80,NCS S 5020-R80B Glans 80,NCS S 5020-R80B Kiiltoaste 80,NCS S 5020-R80B Gloss 80,NCS S 5020-R80B Polysk 80
5020G70Y - GL80,N5020.840K,NC_1,5020G70Y_GL80,N|133|135|97,NCS S 5020-G70Y Glans 80,NCS S 5020-G70Y Glans 80,NCS S 5020-G70Y Glans 80,NCS S 5020-G70Y Kiiltoaste 80,NCS S 5020-G70Y Gloss 80,NCS S 5020-G70Y Polysk 80
5020R90B - GL80,N5020.840M,NC_1,5020R90B_GL80,N|86|102|135,NCS S 5020-R90B Glans 80,NCS S 5020-R90B Glans 80,NCS S 5020-R90B Glans 80,NCS S 5020-R90B Kiiltoaste 80,NCS S 5020-R90B Gloss 80,NCS S 5020-R90B Polysk 80
5020B10G - GL80,N5020.840O,NC_1,5020B10G_GL80,N|94|124|135,NCS S 5020-B10G Glans 80,NCS S 5020-B10G Glans 80,NCS S 5020-B10G Glans 80,NCS S 5020-B10G Kiiltoaste 80,NCS S 5020-B10G Gloss 80,NCS S 5020-B10G Polysk 80
5020G10Y - GL80,N5020.840Q,NC_1,5020G10Y_GL80,N|100|135|101,NCS S 5020-G10Y Glans 80,NCS S 5020-G10Y Glans 80,NCS S 5020-G10Y Glans 80,NCS S 5020-G10Y Kiiltoaste 80,NCS S 5020-G10Y Gloss 80,NCS S 5020-G10Y Polysk 80
5020B90G - GL80,N5020.840S,NC_1,5020B90G_GL80,N|91|135|115,NCS S 5020-B90G Glans 80,NCS S 5020-B90G Glans 80,NCS S 5020-B90G Glans 80,NCS S 5020-B90G Kiiltoaste 80,NCS S 5020-B90G Gloss 80,NCS S 5020-B90G Polysk 80
5020G20Y - GL80,N5020.840T,NC_1,5020G20Y_GL80,N|108|135|98,NCS S 5020-G20Y Glans 80,NCS S 5020-G20Y Glans 80,NCS S 5020-G20Y Glans 80,NCS S 5020-G20Y Kiiltoaste 80,NCS S 5020-G20Y Gloss 80,NCS S 5020-G20Y Polysk 80
5020G50Y - GL80,N5020.840U,NC_1,5020G50Y_GL80,N|125|135|94,NCS S 5020-G50Y Glans 80,NCS S 5020-G50Y Glans 80,NCS S 5020-G50Y Glans 80,NCS S 5020-G50Y Kiiltoaste 80,NCS S 5020-G50Y Gloss 80,NCS S 5020-G50Y Polysk 80
5030R60B - GL30,N5030.3402,NC_1,5030R60B_GL30,N|116|76|135,NCS S 5030-R60B Glans 30,NCS S 5030-R60B Glans 30,NCS S 5030-R60B Glans 30,NCS S 5030-R60B Kiiltoaste 30,NCS S 5030-R60B Gloss 30,NCS S 5030-R60B Polysk 30
5030Y80R - GL30,N5030.340C,NC_1,5030Y80R_GL30,N|135|76|64,NCS S 5030-Y80R Glans 30,NCS S 5030-Y80R Glans 30,NCS S 5030-Y80R Glans 30,NCS S 5030-Y80R Kiiltoaste 30,NCS S 5030-Y80R Gloss 30,NCS S 5030-Y80R Polysk 30
5030Y50R - GL30,N5030.340D,NC_1,5030Y50R_GL30,N|135|98|71,NCS S 5030-Y50R Glans 30,NCS S 5030-Y50R Glans 30,NCS S 5030-Y50R Glans 30,NCS S 5030-Y50R Kiiltoaste 30,NCS S 5030-Y50R Gloss 30,NCS S 5030-Y50R Polysk 30
5030Y70R - GL30,N5030.340E,NC_1,5030Y70R_GL30,N|135|84|66,NCS S 5030-Y70R Glans 30,NCS S 5030-Y70R Glans 30,NCS S 5030-Y70R Glans 30,NCS S 5030-Y70R Kiiltoaste 30,NCS S 5030-Y70R Gloss 30,NCS S 5030-Y70R Polysk 30
5030Y90R - GL30,N5030.340F,NC_1,5030Y90R_GL30,N|135|69|64,NCS S 5030-Y90R Glans 30,NCS S 5030-Y90R Glans 30,NCS S 5030-Y90R Glans 30,NCS S 5030-Y90R Kiiltoaste 30,NCS S 5030-Y90R Gloss 30,NCS S 5030-Y90R Polysk 30
5030G30Y - GL30,N5030.340H,NC_1,5030G30Y_GL30,N|108|135|79,NCS S 5030-G30Y Glans 30,NCS S 5030-G30Y Glans 30,NCS S 5030-G30Y Glans 30,NCS S 5030-G30Y Kiiltoaste 30,NCS S 5030-G30Y Gloss 30,NCS S 5030-G30Y Polysk 30
5030R80B - GL30,N5030.340I,NC_1,5030R80B_GL30,N|64|77|135,NCS S 5030-R80B Glans 30,NCS S 5030-R80B Glans 30,NCS S 5030-R80B Glans 30,NCS S 5030-R80B Kiiltoaste 30,NCS S 5030-R80B Gloss 30,NCS S 5030-R80B Polysk 30
5030Y30R - GL30,N5030.340L,NC_1,5030Y30R_GL30,N|135|110|74,NCS S 5030-Y30R Glans 30,NCS S 5030-Y30R Glans 30,NCS S 5030-Y30R Glans 30,NCS S 5030-Y30R Kiiltoaste 30,NCS S 5030-Y30R Gloss 30,NCS S 5030-Y30R Polysk 30
5030R90B - GL30,N5030.340M,NC_1,5030R90B_GL30,N|68|90|135,NCS S 5030-R90B Glans 30,NCS S 5030-R90B Glans 30,NCS S 5030-R90B Glans 30,NCS S 5030-R90B Kiiltoaste 30,NCS S 5030-R90B Gloss 30,NCS S 5030-R90B Polysk 30
5030B10G - GL30,N5030.340O,NC_1,5030B10G_GL30,N|77|120|135,NCS S 5030-B10G Glans 30,NCS S 5030-B10G Glans 30,NCS S 5030-B10G Glans 30,NCS S 5030-B10G Kiiltoaste 30,NCS S 5030-B10G Gloss 30,NCS S 5030-B10G Polysk 30
5030B90G - GL30,N5030.340S,NC_1,5030B90G_GL30,N|74|135|107,NCS S 5030-B90G Glans 30,NCS S 5030-B90G Glans 30,NCS S 5030-B90G Glans 30,NCS S 5030-B90G Kiiltoaste 30,NCS S 5030-B90G Gloss 30,NCS S 5030-B90G Polysk 30
5030G50Y - GL30,N5030.340U,NC_1,5030G50Y_GL30,N|121|135|78,NCS S 5030-G50Y Glans 30,NCS S 5030-G50Y Glans 30,NCS S 5030-G50Y Glans 30,NCS S 5030-G50Y Kiiltoaste 30,NCS S 5030-G50Y Gloss 30,NCS S 5030-G50Y Polysk 30
5030Y60R - GL30,N5030.340W,NC_1,5030Y60R_GL30,N|140|83|58,NCS S 5030-Y60R Glans 30,NCS S 5030-Y60R Glans 30,NCS S 5030-Y60R Glans 30,NCS S 5030-Y60R Kiiltoaste 30,NCS S 5030-Y60R Gloss 30,NCS S 5030-Y60R Polysk 30
5030Y - GL30,N5030.340Y,NC_1,5030Y_GL30,N|135|126|79,NCS S 5030-Y Glans 30,NCS S 5030-Y Glans 30,NCS S 5030-Y Glans 30,NCS S 5030-Y Kiiltoaste 30,NCS S 5030-Y Gloss 30,NCS S 5030-Y Polysk 30
